[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1613662923.0066411
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\db\models\query.py first seen with mtime 1613662923.0305762
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\email\_header_value_parser.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\pytz\tzfile.py first seen with mtime 1613662919.3115368
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\core\exceptions.py first seen with mtime 1613662922.8829167
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\sqlparse\utils.py first seen with mtime 1613662919.0588672
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\opcode.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\DLLs\_sqlite3.pyd first seen with mtime 1582687854.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\_virtualenv.py first seen with mtime 1613662761.7714505
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\email\headerregistry.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\DLLs\_asyncio.pyd first seen with mtime 1582687854.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1613662920.2530184
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1613662923.0285819
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\dotenv\compat.py first seen with mtime 1625662122.814535
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\distutils\__init__.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\abc.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\ntpath.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\DLLs\_bz2.pyd first seen with mtime 1582687854.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\Documents\project4\project4_network_env\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1613662922.8719466
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\fnmatch.py first seen with mtime 1582687836.0
[07/Jul/2021 10:25:34] DEBUG [django.utils.autoreload:368] File C:\Users\16094\AppData\Local\Programs\Python\Python38\Lib\asyncio\windows_utils.py first seen with mtime 1582687836.0
